username,rating,comment
l*****_,5,"Alhamdulillah paketan sudah datang sesuai pesanan sesuai permintaaan, barangnya oke pas dibadan cocok pokoknya.
Lain kali beli lagi disini.
Sukses dan sehat selalu ."
amaliayunita1006,3,Barang baguss tapi yang dateng df3😑 lain kalii harus lebih teliti ka😘pengirimanya cepet bgt si❤
taufikpramudja,5,Bahan sejuk tdk gerah. Motif dan warna sesuai.
a*****r,5,"bagus banget sih toko ini, ketika ada kendala motif yang saya inginkan kosong langsung dikontak via wa, dikasih tau motif apa aja yang ready, sebelum ada konfirmasi dari pembeli, gak akan dikirim, gak asal kirim... keren kakkk, pertahankan😆😆😆"
awjuniarto,5,"Udah excited sama kemeja nya, dari desain sama bahan nya udah bagus, tapi tolong quality control nya ditingkatkan lagi karena masih ada sisa2 benang kelebihan jahitan di kemeja nya"
arbainl,3,Maaf kasih bintang tiga karna banyak alasan pertama sama minta tipe 1903 tapi di kasih tipe 1901 paking terlalu lama tapi kualitas sandal oke sesuai harga
riska_ameliaaaa,5,"Mantapppppp bagus bgt 
Nyesel cuman beli satu😌
Bahan tebel 
Ok
Ukuran dan warna sesuai pesanan 
Rekomend banget deh toko nya 😍🥰"
firmanfaturrahman16,5,Kemejanya sudah saya terima dengan baik. Ukuran pas. Warna mungkin agak sedikit berbeda dengan yang ditampilkan tapi gapapa. Bahan juga nyaman. Terima kasih. 
fernandita,5,"Kain halus, tebal, dan motifnya juga bagus. Dipake juga nyaman deh. Pacar saya jd keliatan ganteng maksimal wkwkwk. Thank you seller!"
meydizi23,5,"Min, makasih yaaa orderannya 👍🏻😊.
Bagus dan halus bahannya, good Quality dah ini.
Next order lagi dah. Semoga tmn suka neh
"
robi29ilham,5,"Barang sesuai pesenan , admnya first responn brg cpt banget datangnya rekomendeah kalo beli kemeja disini ga nyesell parahhhh 😁"
guse8693,5,"Sudah 2 kali saya belanja di toko ini selalu puas,respon cepat barang yg dikirim sesuai,sukses terus buat toko ini"
riosusantto,5,"Barang nya sangat bagus murah lagi dan packaging nya rapih,sukses terus buat resseller thank you so much........"
fatmaaaa2901,5,"Mantaappppp cekout jam 4 jam 6 lgsung dikirim, besoknya lgsung nyape flanel bahanya lembut harga terjangkau...... "
idabaguswidyawangsaja,5,"Mantap kemejanya, bahannya bagus nggak kasar, nggak terlalu tebal, ukurannya pas, next time order lagi"
akaieria,5,"Udh yg kesekian kali beli disini, selalu puas, barang oke, pengiriman oke bgt. Langganan pokoknya 😀"
julianzhul,5,"Pengirimane cepet bingit 2 hari.. Bagus euy kemejane pas dipake. 
 Chad buxom GarboyGarth brill jello"
nurvita28,5,Pengiriman cepat..barang real pict bahan bagus suka banget pasti jadi langganan beli disini.. 
adepratama_02,5,Bahan nya tebal kualitas nya terbaik mantap deh...di jamin ga nyesel beli di sini😍😍😍
b*****a,5,"Mantab bahan nya,  pengiriman super cepet. Kmren sore check out besok ny barang langsung sampe."
fikri_alpian,5,"Alhamdulillah barangnya sudah sampai, pengiriman nya cepat banget, barangnya lumayan bagus, terimakasih"
lolooooo,5,"Barangnya lumayan, tp ga bagus banget, tp ya lumayannn lahhh harganya"
hari_wid,5,"Bahan tebal tapi adem dipakai, ukuran sesuai dan pengirimannya bagus"
shimaitirisa,5,Bagus bnget.. pengiriman juga cepet.. order kemaren hari ini nyampe..🥳🥳🥳
murdaniolshopmfi,5,"Kualitas juga baik, dan pas di badan. Cocok untuk body Indonesia"
lilitagtg1515,4,"Kualitas barang ok, tapi pengiriman sedikit lambat, overall good product 😉👍"
epulzkuleuheu,4,Ok bgt kemeja nya. Semoga awet
akhmadandiansyahnaufaladani,5,"Kerenn bgtt ini sumpaa, bahan nya mayan tebel, dan yg jelas warnaaa nya kerennn bgt😭"
anggasptra0990,5,Yahhh sekitar 4/5 mayan buat harga segitu.
primadyta04,2,"Tampilan:okelah
Warna:tidak realpic

Sebaiknya tanya dulu ke reseller nya warna realpic nya apa, biar ga ketipu"
theaquadips,5,Bahan berbeda dari pesanan sebelumnya kirain sama dan jahitan kurang rapih tapi ok lah gapapaintinya gua ngasih nilai demi koin Shopee 50 perak
m*****3,5,"Pingiriman 2 hari, kalo soal produk gilaa sihh🔥"
6l_yqwg3pzl10mihch_edr3l4vfb,5,Kerenn bajunya makasih ya next order lagi
hamdan_rachmatullah,4,"Overall oke, kancingnya agak brudul"
nitaantek2004,2,Bahn bags kuwlits bags cumn kalu mengirim thhhh kirm lh barng ng bagus jahitn yg rapi bbiar kmi para pelnggan puas ini mh kaga kana hnya ngeliat poto jadi gk bisa mih asal asal aja di kirm nya jadi keecwaaaaaaaa bangttttttttt.
debora_tambunan,5,"Biasanya baju suami merek lain ukuran L udah cocok banget, ini agak sempit sedikit, tapi bahan nya bagus banget cucok meong. Lain kali coba ganti jadi ukuran XL deh kali aja ngepas."
mayadahayu,2,"kainnya panaaasss
jahitan bagian kerah juga aneh.
size M LD nya kurang dr 100cm.
Pjng Baju kurang dr 70cm.
sizenya tdk sama dng yg di keterangan."
iyay_iwan93,4,Agak kecewaa..warnanya gk SMA SMA yg di Poto..trs jga bahan bajunya beda dua duanya SMA yg pertama mesen...bagus yg pertama bahnya beda bged..cuman gpp lah
bro_irfann,1,"Warna kemeja pudar banget beda jauh sm digambar. Merk beda, bukan merk Mikepm tp merk ninety-eight. Pas dipakai jg bahannya gak nyaman. Hmm 😞"
andini_saputra,5,"Bajunya bagus
Bismillah semoga suami suka krn buat kado
Tp tulisan di label bahan'a katun tp pas di pegang kok rada panas ya"
aliyuddinvidhin,4,Flannelnya keren.. tapi sayang untuk stok kurang di update.. jd yg tdnya pilihan awal berhubung udah abis jd terpaksa pilih yg lain..
agusbastian381,4,"Barang udh diterima dengan aman, belum diliat sih sesuai apa gak dgn pesanan
Tapi aku yakin aja pasti sesuai dan bagus
Terimakasih"
hijausawit,3,Kainnya tebal tapi kenapa gatal dipakai seperti ada yg nusuk nusuk kayak habis kena pohon bambu gak nyaman banget di pakainya.
oktarisa168,3,"Barangnya bagus, tapi sayang ukuran l nya kecil, yang satunya lebih kecil lagi padahal udah ukuran l nyesel pesan 2"
n*****n,1,"bahannya lumayan, tapi ukurannya yang kekecilan. padahal di size chartnya XL 54x74, tapi pas diukur lagi malah beda size"
k*****l,3,"Barang sesuai harga tapi berfungsi normal mudah mudahan awet, pas di kirim abangnya kurang memperhatikan catatan "
veiyra,3,"Sering beli disini, tpi kali ini kecewa banget. Banyak jaitan yg gak rapi dan benang yg awut2an."
endangenmark,5,"Terima kasih shopee, seller,kemeja ya bagus"
okaaprilianto,5,rekomen sekali.. ukuran XL yg pas di badan saya dengan tinggi 180.. bahan halus enak banget
gilangpangestu97,3,"Maaf saya kasih bintang 3, karena ada kesalahan pengiriman saya pesen  ukuran m yg dikirim malah xl "
saputrogiggs,5,"Terimakasih kemeja sudah datang, sangat pas dipakai fit & sesuai. thx buat seller sukses selalu "
yolannputra,5,"Barang bagus mantap pokok nya disini rekomendasi tempat cari flannel, kapan kapan bisa beli lagi"
,5,"Sesuai lah meski,cuma pengiriman dari jnt nya lambat sangat.kalo untuk produknya di jamin gak bakalan nyesel"
machito83,5,"Bahan bagus....tpi kok warna agak beda say, sama gambarnya....,kamera nya terlalu keterangan mungkin yak "
,3,"3 aja lah..  yang di pesan beda sama yang di kirim..
soal bahan sih ok.. bagus..."
r*****a,5,"Baju nya bagusssss...bahan adem enak di pakai,pas di badan suami q..terima kasiihhhh seller.."
cahyallahars24,5,"Produk bagus, tinggi 175 bb 60 cocok pake ukuran M buat yang suka ngepas badan"
nanangazari,4,Ikutaan xlnya ngpas banget Ama badan saya ukuraan xlnya bisa dilebihin besar lagi maksih
robiahcantik125,4,"bagus, warna sesuai picture, tpi bahannya beda sm flanel lainny, ga suka sma bahanny aj"
g*****a,4,Untuk bahan bagus untuk ukuran xl agak kecil di aku maaf but oke la
d*****a,3,"Tampilan:Sorry to say, jahitan kurang rapih bagian bahan nya ga kuat ada yang berlubang."
racheldesiliana,3,"Bahannya tebel tapi panas bgt, baru dicoba blm smp 10mnt udah keringetan bgt-_-"
khisan_,4,"produk pas slimfit, tapi ukuran m untuk pria tb 170 panjang lengan terlalu pendek"
fadhilllllllllll123,3,"Bahan bagus tapi warna jauh melenceng dengan foto, dari merah berubah jadi ungu"
a*****5,5,"Kain bagus, uuran sesuai, ini saya beli untuk yg ke dua kalinya"
memskystore,3,"Motif yg datang beda dengan yg dipesan
Tp gpp sih barangnya oke
"
sitisopuro22,5,Bahan nya bagus bngt ademmm sip ini sih bakal jadi favorite bngt
b*****y,5,"Barang sesui foto. Dan bahan bagus...
Sedikit kurang gede...terimaksih shope dan selernya..."
fikri.atthoriq,5,"Warna merah lebih cerah kalo di gambar, aslinya tidak secerah itu"
wahyuddinhah,3,"Bahan bagus, cuman ada beberapa yang ga rapi, benang benang keluar."
timothy_hutagaol,3,barang yg sampai kurang sesuai dengan gambar dan bahan nya kurang rapih
dkorre01,4,"Ini bahannya agak panas, warna jugaa gak secara di foto produk"
rinaaaaa27,5,"Bahan nya lembut halus gituu, sampai nya juga cepat, terimakasiiii ❤️🙏"
wismaldinlaia,5,"Kayaknya beda merek sih, tpi nggak apa""lah yg penting bahannya ok"
alwijroh,2,"Barang tidak sesuai gambar, yang di pesan apa sampai nya apa"
fitranalrazy,5,bahannya bagus tp sayang garisnya ijo bukan putih padahal difoto putih
rizkawindy,5,"Ga sempet foto bajunya tapi bener2 bagus bajunya, bahannya juga lembut"
nazafarinalmeera,4,Bahan bagus sangat puas dengan bajunya sesuai lah dengan harga segitu
rizall_kurniawan3,3,"Barang bagus, tapi salah ukuran kurang teliti yang packing nya"
hafizal_29,4,"Aku suka sama bajunya, bajunya bagus bangettt maksi Mike PM"
gustiamri,4,Yg satu bahan premium yg satu kok kualitas murah aneh
madrimgayoh,5,Bagus kain tebel ukuran dan warna sesuai gambar. Mksh sopie
evijamilah,5,"Pesanan sudah di terima, bagus suka sama bajunya"
andhika.20,5,Lebih ke warna maroon
l*****l,5,Terima kasih ............................ Fast Response .......kualitas ok ...........sesuai harga.......
d*****7,5,"Bahan halus dan tebal, good quality.. fast respon,  Recommended"
tyelillah,5,Bahan bagus dan amanah
d*****9,5,Kualitas produk sangat baik bahannya lainnya adem halus juga
kngarden,5,"Barang bagus. Cepat sampai. Kurir ramahh.  Trmakasih d
Goooddd"
r*****a,5,Bahan bagus dan nyaman dipakai.. tidak ada keluhan..
r*****8,5,"Pesanan sudah di terima,,
Kualitas produk original,,keren"
reraendra,5,Sangat istimewa Jos gandos ndak rewel pengiriman top markotop 👍👍👍👍👍😁😁😁
mangaso,5,"Cepet banget dah, baru juga sore order pagi sudah nyampe di tangan nih kemeja

Top top markotop lah pokoknya 👍🏼👍🏼"
rizalakmal,5,"Bagussss bangettt
Sesuai harapan
Bahannya nyaman 
Mantappp"
syaifulanwar1453,1,"Saya kan sudah kasih keterangan bahwa pesan 3 baju dengan jenis yg berbeda ada df 6,df15,df16 yg datang kenapa satu warna bajunya tiga tiganya lagi, ampun"
n*****1,2,"Pesan nya apa dateng nya apa hehe, parah sih tp gpp. Karna keburu lebaran ya di pake seadanya aja drpd enggak pakai baju. Makasih"
wnmubarak24,5,"Produk sangat baik dan memuaskan, next bakal order lagi 🙏🏻"
la.nella,3,Saya kasih bintang 3 trnyata yg dtg sudah beda merk
erlinlutvia,5,"Overall bagus, cuma realnya agak beda warna karna pencahayaan. Semoga foto selalu diupayakan semirip mungkin, atur pencahayaan yg sesuai"
,5,"Biasa aja, tidak worth it untuk harga segitu wkwk.
Tapi gapapa, aku tetap happy kiyowo."
a*****3,1,"MINTA L DIKIRIM XL !! GILA KALI YA, LU KIRA GAMPANG CARI DUIT !!"
ishtar332,5,"Barang mantap, belum nerima ditangan, klo sudah bakal uplod foto nya sipp lahh 😁😁😁"
,5,"Bahan nya tebal,,,adem, sesuai gambar puas belanja disini next order disini lagi"
m*****_,3,"pesan warna coklat yg dtng malah hitam :""
kedepannya lebih teliti."
s*****d,5,Terimakasih barangnya sudah diterima semoga semakin sukses jazakallah 🙏
muntafiah.,5,Bahan bagus tapi mungkin warna nya aja kurang terang
l*****_,2,"Kotor, kaya bukan kain flannel. Lebih ke kemeja biasa"
p*****y,5,"Makasih udah sampai. Order malam, siang hari sudah sampai. Padahal lagi 9.9 😃😃 semoga yg pakai suka hehe"
muhammadikrammullah,5,"Produk sesuai best lah bakalan langganan ni 
Boleh lah order di sini gak mengecewakan"
monoz75,5,"Produk keren, terimakasih seller, kurir dan lazada 👍"
e*****0,5,Bagus lembut tapi agak tipisan ya kirain flaner beneran hehe tapi lumayanlah ya
s*****6,5,"Karena pesanan orang jadi ga brani buka
Okey
Semoga si baguas"
s*****a,5,"Emang benner2 bagus bangttt siii sumpah ini mahhh, ngga nyeselll. Rekomen deh pokonya😭😭😭😭"
n*****4,5,"Sudah sampai di sini, Alhamdulillah sampai mantap pokoknya, "
p*****a,5,"kualitas produk baik, pengiriman cepatttttt"
astri.larasati91,5,"Belum di buka paket ny,  tapi  dr pengiriman cepat,  respon chat juga  cepat, pertahankan ya..  Saran,  koleksi nya di tambah plus kemeja anak anak juga. Terima kasih "
yuhan_yuhanit,5,"pengirman cepatttttt harganya juga okeeee terimakasi seller sukaaaaaaaaaaaaak
"
,5,"Bahannya enak Alus, pengirimannya jg cepet 🤗"
aristna354,4,Pengirimannya cepat mantab barang oke 
iqbal87,5,"bahan lembutt, sesuai pict
packing rapi"
celebest_store,4,"Kualitas Premium, Terimakasih Sudah amanah... Harga tidak membohongi kualitas "
joyusbinacep,5,Kualitas produk baik........ Produk original....... Harga produk baik.    .........
r*****2,5,"Bahan enak, ukuran pas, model bagus banget,suami juga sukaa"
abdullahkamil081936777661,5,barang sesuai harga...cocok..respon penjual sangat baik..pengiriman sangat cepat
2x9f9nwdp5,5,"Pengiriman cepat, barang sesuai pesanan, bahan bagus berkualitas⭐Admninnya Ramah🗿👍"
anesss123,4,"kualitas dan packaging oke, tapi size kecil untuk XL"
anangfaturahman814,5,"Jangan ragu beli disini, kualitas mantep penjual ramah"
nurulachmad10,5,"Tampilan:bagus
Warna:bagus

Lembut bahan nya...cakep pokoknya"
c*****t,5,"Produk baik,bahan tebal,pengiriman juga cepat"
siskacollection99,4,"Packing bagus,, kemeja jg bagus"
budianugrh,5,bahan bagus tebel lembut juga bahan nya tenks
ris0802,5,Puas deh pokoknya pelayanan ditoko ini
6l_yqwg3pzl10mihch_edr3l4vfb,5,"Kerenn baju nya next mau order lagi,asli kerennn"
baharudinakbar2003,4,Kecil gan harusnya ukuran xl panjang
afanafandi,5,Bajunya mantap pokoknya rekomen deh
antangmadhe,5,"Pengiriman cepat dan mau di minta tolongin utk di kirim lebih awal Krn dgn alasan sesuatu yg mendesak,thks Bagus"
s*****y,5,thanks paketnya sudah datang. lancar terus usahanya semoga amanah ya jualannya aamiin
sentyafiranty,5,thanks paketnya sudah datang. lancar terus usahanya semoga amanah ya jualannya aamiin
dedeyusuf46,5,"Mantap, harga murah tpi ga murahan, sesuai gambar, next order dsini lagi.😍"
s*****a,5,"bahannya bagus dan kualitas oke untuk
kemeja flannel mantapz"
rprika,5,"Keren keren.
Bakal jadi langganan nih.
Pengiriman juga cepat"
anggideprianto,5,"Mantep bagus banget
Kemurahan sih untuk kwalitas sebagus itu"
tatangsuryana22460,5,"Respon sangat cepat, barang cepat datang, kualitas sesuai, tks"
anantara145,5,"Bahannya bagus, sesuai ekspektasi, warna sesuai, pengiriman cepat bgt"
i*****a,5,"produk oke, pengiriman cepat, sesuai deskripsi, mantabb"
yog_s,5,"Bahan baguss,, recomended, pelayanan penjual juga bagus, ramah"
sendyfransia,5,"Kemejanya bagus,  respon sellernya cepat,  makasih ya... "
,4,Mantap sesuai pesanan harga terjangkau pass pokok nyaa
r*****a,4,"Kualitas bagus, mungkin kedepannya jahitannya dirapihin lagi"
ayustika_i,5,MANTAPPP PENGIRIMAN CEPATTTT MAKASIH YAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
osseo.id,5,"Sukaaa, ga nyangka kalau bahannya bagus gini. 🤩"
mylomba,5,worth it sesuai harga dan tidak mengecewakan
lol_brother,5,Merk nya Jack Brown bukan MIKE
aldiaaf_17,3,Yang Dateng ko beda sama yang di pict yahh
m4s4ldo,5,"Terima kasih, barang sudah diterima"
mariaoca,1,Bahan jelek sampah banget kaya beli kaus partai
p*****1,3,"baju di bagian lengan ada yang sobek,"
,5,"Suka bgt
Ini yg ke dua kalinya beli disini , puas dan keren produk nya
Next order lagi 
Thanks gan, sukses selalu"
m*****3,5,"Sudah sampai dengan selamat yaa min orderannya, thx laaah pokoknya🙂👍🏻. Langganan lagi ini
Update lagi yaaa min stok barunya"
,5,"Mantaaappppppp beli yang kedua kalinya, barangnya oke sukaaaa😍"
sherly_riesty,5,"Barang datang sesuai pesanan...
Terima kasih ya.........."
asmaul435,5,Pesanan nya sudah saya terima dengan selamat. Makasih.... 
theaquadips,5,Apakah di nomor tiket via DM agar dibantu cek dan privasi terjaga dan dapat menyebabkan kerusakan pada batang kayu hidup atau kayu yang telah ditebang
makmur_jaya_plastik,5,"Gokil nihh seller,, baru nemu yg gercep begini,, order hari ini dikirim kemarinnya,, wkwkwkwkwk.. mantull boss.. good job lahh"
ajengeka216,5,Baguss banget udah dua kali beli disini gak pernah kecewa  baju.nya udah di pakek maaf tidak bisa kasih gambar.nya
s*****a,5,"Enak bangttt dipake, yg suka pake kemeja. Rekomen bangttt deh nyobain ini. Langsung order gaesssss"
r*****3,2,"Tolong kalo foto flanel nya yg realpict pencahayaan nya, jadi pelanggan ga kecewa pas dateng barangnya."
nndr45,3,"Pembelian kedua kecewa, saya kira barang sama kek yg pertama, percuma dpt diskon kalo barang nya berbeda.."
fikhar26,4,Masukan: agar lebih teliti sehingga ukuran yang tertera di lapak lebib sesuai dengan ukuran asli. 
wahyoedhafin,4,Minta unggu dikirim abu abu mohon saya pesen lagi jangan dikirim abu abu ya
anggiprisilya,5,Mantappppp bgt lah ya uch lala murce dan bagus recomen emang sopee
arifsanjayaaa,5,"Gokil pengiriminan ke lampung cmn 1 hari haha, biasa nya 3-4 hari. Pertahankan ya gan"
a*****n,5,"Sampai dengan aman gada kerusakann, mantulllll
Cuma pihak pengirimannya ngantar lama"
dickysukmadi,4,"Real pic 👍
Tp pas di cuci lunturrr muntaaah bahannya 😑"
abdee12066,3,"L nya agak kecil dari biasanya, harap upsize dari size biasa"
febiwulansari27,5,"Bajunya bagus, bahannnya bagus , lembut , sesuaaaiiioi lahhh "
ferdi977,5,"Pesen ukuran xl tapi yang dateng ukuran l, but its ok"
ekijulianto,5,Makasih bnyk kak barangnya sudah sampe bagus dan realpict 🤗
ridhozue,5,"Baju nya bagus.. Cuman kebesaran bisa ditukar gak dgn size M.. 
"
rahmat2800,5,"Barang nya bagus , tapi saya nya salah beli ukuran 😔"
rizkiafriantoro,5,Saran aja kalo di cuci jangan di barengin cucian lain😉
yogapratama2211,5,"bahan, jahitan sesuai harga. ngga engap waktu dipake. siplah!"
,5,Tolong di perbaiki pengiriman nya hrs tepat waktu jngan terlalu sore
dedealehsa06,5,"Tinggi 173 berat 75 ukuran L gak muat, terlalu ngepres"
k*****r,5,Sangat memuaskan bahan bagus sesuai realpict next oder mantap
evinuraeni_,4,"Bagusaa,ade saya sukaaaa. Bahannya aga kaku aja,tpi overall ok"
b*****a,5,Bagusss barang nyaa saya suka nanti saya beli lagi disiniii
efi.isnaini21,4,"Bahan tebal tp bukan woll
Sesuai motifnya
Makasih y"
ekosupriatinsantoso,4,"Sesuai dengan pesanan,
Produk baik
Top markotop......terimakasih"
raisabd40,3,Warnanya luntur ke baju dalaman warna putih saat di pakai
adelincumbok,5,"Biar bintang yg berbicara,mksh juragan barang sangat best😘"
,2,"Kok bisa salah ngirim ukuran aih min, kan jadi kekecilan"
dark_shop80,4,Barangnya oke cuma sedikit kurang rapih dalam penjahitan
adinugro.ho,3,Baguss tpi sayangnya lengan kiri ada yg lupa dijahit
,5,Makasih barang ya sesuway pesanan mksih tar blanja lagi
deky999,4,"Produk bagus,tapi tak sesuai dengan warna yang saya pesan.."
ikhsan99mh,5,"KEREN BET KERENNNNNNN,SERIUS BAHANNYA TEBEL KEREN LAH POKOKNYA"
adinda_julia17,4,"bahannya gak sesuai ekspektasi 😭😭
but overall good👍"
guki13,5,"Barangnya bagus banget, musim corona gini pengirimannya"
,4,"Warnya kurang kereng heh, padahal digambar bagus warnanya"
,5,Terima kasih kak barang sudah sampai😍 bagus bahannya
adiillllll,5,Hihi di dalam rumah tangga yang hampir sama yaitu di Indonesia yang memiliki nilai yang lebih baik dari segi tiga misalnya dengan menggunakan metode
,4,bagus bahannya cuma ada reject sedikit next tolong lebih diperhatiin ya gan
hanifarrkan46,5,Mantap punya
r*****i,5,semoga berkah buat kita semua 
e*****a,5,Keren pisan euuy...
maknun383,5,Bagus
fitriana_store90,5,"alhamdulillah udah sampe,real pict mantap👍🏻"
dheaamandaputeri,5,
rizalberder,5,Sesuai ukuran
sintaapriliajuwita,5,Okeelahh
zaenalmustopa17,5,
ahyanatasapraja,5,"Mantap, rekomendasi bangettt"
queenzaaqilaahzar,5,
h*****a,5,
deasidah,5,
rifkiaf260,5,
remaldi11,5,
arfendoaryanugraha,5,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
danazein,3,"Jauh dari bayangan,yo wes lah"
difapramana,4,
nickchathatha,5,
syuq27,5,Mantapp rekomended bangetzz.. Bikin kamu makin pede dan kece.
siregardewi99,5,"Bgus gus gus gus, ngk nyesel pokoknya beli dsini mumer"
prillovedku,5,Bagusbagubagusbagubagusbagusbagusbagusbagusbagusbagusbagusbagusbagusbagusbagusbagusbagusbagusbagusbagusbagusbagus
riskanurhidayani,5,"Mau GRATIS Nelp & SMS 3hari ke semua nomor Indosat? Cuma pake hape kamu nelp, sms atau internetan sekarang, kamu akan dapat bonus nya. Ayo sekarang juga"
emiliameiliana,5,cakep bgt gatau lagi plis😭😭😭 under 150k ini bgus bgt sihhhh
beautyskin155,5,Krennnnnnbukcuduzhdjdjzjsjdjshdhdhfjgjfhxhxhxhxhxjcjxjcjfj
a*****a,5,Oooooookkkkkkkkkkkkeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
pandadara,5,"Review jujur, ini bagus baaangeeeettttt. Buruan ordeerrr gaiiissss!"
faizaharinii,4,Ajsgsbsywbshshsbdhusjssbsjsjjsjssjwjwjwjwjsjsjwjsjsj
dewifarhanamauliya31,5,🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰
,4,"Pilihan pertama kosong....pilihan kedua kosong...pilihan ketiga ada, okelah kalo begitu...."
,5,"TOP! Bahan, motif, dan warna bagusss"
sarifudin01,5,Kualitas nggk mengecewakan. Recommended seller
tiiqs1101,5,Pas bgt utk ukuran suami
agung_mhm,5,Warnanya bagus tapi jahitannya kurang rapi 🥺
g53047692y,5,Jangan ragu pesen kemeja di sini. Seller amanah
rauliafah,5,Bahan adem bagus g pasaran motifnya
aam6883,5,"Produk bagus, pengiriman cepat, kenasa rapi"
mevlana_,5,"sangat puas, ukuran pas, produk bagus"
peripadli30r,5,"Sesuai produk ,,,mantap buat toko"
selvia_ariyanti27,5,Nice banget barangnya semoga temenku suka
muhamad_arifin97,5,"Tidak mengecewakan, barang bagus 👍"
busmirizki,5,Padahal sy suka tp ukuran L masih kecil juga 😢
inha94,4,"Warna ga sesuai di foto🤦
Kalo untuk bahan bagus"
gustiawan80,2,Lumayan sih cuma untuk pesanan yang kedua berbulu
manggalarenosabrina,1,Bahan nya gak sesuai dgn barang yg pertama kasar
martha_cheryna17,4,"4 bintang karena kurang suka dibahanya gtu doang
"
dydy71,4,sayangnya ukuran lbh kcl.dr yg biasa sy beli
jeksonparulianpanjaitan,1,"Saya beli 2, satu pcs bukan merk eighty eight"
wanfaisalku,4,Bahan bagus cuman salah gua sih salah pilih size
s*****t,3,Bagus cuma yg ini beda merk
f*****p,5,Beda warna sama di gambar tapi yaudahlah yaa
muhammaddiaz_19,5,Baju bagus kain good maaf nggk ada foto
aku_ya4ku,3,"garisnya ga nyambung, jahitnya ga rapi huhu"
mohfahriauliapriatna,5,Mantap produk nya rekomended banget
antonfathurochim,5,Thx fast respon barang juga cepat sampai
raka.nuka.rosada,4,Sayang ga di kasih stiker .. 😅
ddrwarkopgaming21,3,"XL nya kecil, kya ukuran L, 😤"
gery1509,5,Buka kemeja ada label di kerah LACOLA
,1,Saya beli yg ini yg dikirim yg lain😅
puputtarsoni,4,Ukuran lebih besar dikit dari specipikasi
m4s4ldo,5,"Terima kasih, barang sudah diterima"
kulelee,1,Barang sampek tidak sesuai pesanan kecewa
,4,Bagus tapi bajunya kok bisa bau ya
susi557,5,Selalu langganan. Karena barang bagus 
a*****n,5,"ikan hiu makan tomat,,,, mantap... "
khaerulwahyu,5,Real picture & bahannya bagus
lamhotdsagala,1,"Kecewa bgt sama product nya. 
"
ridhaariyantiputrifatir,5,Bahan bagus tebal dan original. Super suka.
lutfizea,5,"bajunya bagus, tapi XLnya kecil"
merry7211,5,"Bajunya bagus ,semoga jadi langganan"
abhy02,5,Cocok bngettt kainnya sesui dgn harga
ikhlasulafif21,2,"Bahan tipis, ukuran tidak sesuai"
r*****l,1,Barang tidak sesuai dgn gambar
kresnasigitatmaja,5,"bahannya bagus lahh,,,  memuaskan over all"
eave.store,5,"bagus, cumq bahan agak panas ternyata. "
jimasaryadhana,5,Auto gans lah pake ini kemeja
,2,Jahitan kurang rapi bahannya kasar banget
,5,Bukan kaleng kaleng bahan nya
2eucsfpkry,5,Barang y fixs sesuai mksihh
nila130893,5,"Saya sukaaaaaaaa sekaleeeeeeee
Trimakasi sis semoga barang nya laris manis yah🙏"
devi.sandra,4,"Bintang 4 dl y,tp mantap lah👍👍👍maaf br kirim ulasan🙏"
s*****a,5,Bagusssss bxksjdvjd jg d sjdjdjwksjhdhd sbsbjdjdjdjdjdnbdjsjdjdjfj
b*****_,5,Bagus sekali lagi ini itu ga ada yg tau gak sih tawa sutra dahsyat inbox insert intens kiss klik koki kompas pesbukers sketsa silet hari ini aku akan tetap menjadi pilihan yang sangat penting
,5,Aku tidak bisa melihat buaya buntung ada di Semarang bbrp hari ini kelas pak Mad di dunia
mz_bdull17,4,"Mantulll mantulll benerrrr. Semoga bahan nya tidk berbulu jika sdh dipakai dan dicuci.
Makasih ya"
maen10,5,"Bener bener amanah 
Makasi kk makasi semua
Moga semakin berkah dan semakin lancar jualannya/Amin."
mtitoanugrah__,5,"Sumpaa baguss bangettt, ga nyesel pokoknya. Next bakalan order lagi disini! Thankq admin"
diyorsinaga,5,"So far so good👍
Next order lagi👍
Makasih shopee dan seller🙏"
beautyskin155,5,Uffuopjhfddsaargjklllbcxxfyiooufsaaazfgjllncxzzfukkvxfyipjh jnnbbvcffc
ylboutique,5,Bbbbbbbbbgss bbbbbbggggsssssss bbbbbbggggssssssssssss
tiandreno,5,"Produk oke. 
Skkwkwkakksjsjsjsjnsnsnsmmsmsmsmmssmmsms"
devannoallandeputraforesta,5,Jos ae lah wkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwwkkw
yashintasofanaa,5,Bagussssssssssssssssssssssssssssssssssssssssseseeee
alfaeyza,5,Hajaksldldldlddjdbdhdkkdlsososldldldldldldldldldldldl
