username,rating,comment
achmidmuhtar32,5,"Trmkasih gan pesanan sdh sampai dan sdh dicoba bagus banget sih hrgnya murah tp bukan murahan, pokokknya mantaaaaaaaap,,,"
ayudian22,5,"Bahannya bagus ukurannya pas motifnya sesuai.. 
tapoi ada rasa sedikit kecewa tapi si ini di aku.. aku kira motif ini bakalan bgus bnget di aslinya tali ternyata pas dteng trus d buka kurang suka.. ya tapi gapapa lah yg di beliin juga masih mau nerima.. pngirimannya juga cepet maksih ya"
sayidilham,5,"Mantap... Barang bagus untuk harga segini worth it banget, kualitas juga bagus, next order disini lagi.. Terimakasih"
welleds83,5,"Barang sudah sampai dengan selamat sesuai dengan pesanan, pengiriman cepat warnanya agak gelap ya. Bahannya bagus"
lisyaprilia,5,Alhamdulillah sudah diterima barangnyaa..suka banget..bajunya bagus bahannya tebel..pengiriman cepet..thanks seller 
zielvahableel,5,"Alhamdulillah sudah sampai..kmrn TF hari ini nyampe..expressss
Bajunya jg bagus bngt warnanya ga nyesel order disini
Recommended seller 👍🏻👍🏻👍🏻"
ahmatsolahudin,5,Kemeja nya bagus kain tebal ukuran nya juga pass di badan pokok nya recommended layak bintang 5
p*****i,2,"Beda sama yg dipesen, padahal udah mall gini loh. Bahan dan kualitas oke sih."
l*****4,5,Pengiriman cepat dan paket sudah diterima dengan aman bajunya bagus
jenniferwungkana03,5,Bahan bagus. Tebal. Dingin dipakai. Jahitan kurang rapi. Tapi baguss sesuai harga
s*****q,5,"Kemeja nya bagus banget 😍 Bahan nya oke harga pas, mantap lah"
m.rizkialfaris17,5,"Kemeja bagus datang sesuai yang saya inginkan, namun bahan kemejanya tipis, tapi tidak menutup kemungkinan saya untuk memberikan bintang 5. Dengan harga segitu wort it lah cus beliiii kemejanyaaaa. Sebenarnya mau chek out 2 kemeja eh yang satunya ukuran L nya abis :("
h*****r,5,"Alhamdulillah uda dateng. Bahannya bagus, real picture juga dan sesuai pesanan. Harganya affordable. Semoga awet dan adek suka."
y*****r,5,"Gila parah bajunya bagus banget, bahannya tebal terus rasanya adem jadi enak dipakek. POKOKNYA THE BEST LAHH. 

Packing amann👌"
r*****d,5,Real picture. Bahan adem. Warna oke. Harga terjangkau 100 an. Like
desymielasr,5,"Bahan flanel nya bagus tebal,packing rapi dan pengiriman sangat cepat. "
hildasaf,5,"Motif, warna, dan ukuran sesuai pesanan dan foto produk. Bahannya alus banget, mantaplah. Ps : XLnya ngga terlalu gede."
achmdfhrz,5,"Packing rapi, pengiriman cepat. Barang mulus mantap. Recomend banget pokonya ...."
mdakaraldino1906,5,"Bahannya bagus, lembut gak berbulu pokoknya beli dsniii gk nyesel.... Puassssss pokoknya loveeeee bgtzzzz*zz"
ilhumble,5,"Bagus bahannya tebal
Cocok buat style OOTD
Recomended bgt dah"
a*****g,5,Bajunya kerenn. Pengemasannya juga cepat. Kemarin beli 1 dlu krn mau coba2 aja dan ternyata bagus jadi bakal repeat order sih.
imaawsy,5,"alhamdulilah pembelian kedua sesuai pesanan, pengemasannya cepet, tpi pengirimannya lumayan, btw kainnya bagus banget 😘👍"
putrianindya033,5,Barang nya bagus ternyata agak kegedean mau pilih ukuran m takut kekecilan. Untuk pengiriman jelek banget. Ga sampai di rumah ku. Malah nyasar ke rmh orang lain. Untung orang nya baik kasih tau aku. Minta tolong ya sis kasih tau pihak pengiriman suruh lebih teliti
baiqkencanadimyati23,5,Ukuran pas ..bahan bagus top deh pokoknya ..rekomended..nanti belanja lagi
l*****_,5,"Paketannyanudah nyampe cepet bangetlah, bahannya juga lumayan mudah mudahan cukup dibadan suamii, next bakalan order lagi deh"
n*****6,5,suka bngt sama bajunya bahannyya tebel enak bngt buat di pake dingin g panas bahannya menurut ku worth it bngt si buat di beli
fajaryudan,4,"Agak kekecilan untuk ukuran orang 180 cm, tapi designnya bagus. Terimakasih seller"
,5,Bahan tebel gak nerawang bagus bgt wort it juga pengiriman cepet
o*****w,5,"Bagus bahannya lumayan tebel dan sesuai ma gambar, mantab sekali"
wanarachman,4,"Br pertama kali order dsini,planelnya bagus cm beda warna ma d foto,mngkn efek kamera kali ya tp gpp kq,swiqu suka.mksh kak,,"
